x,y,z,is_anomaly
0.1185,-0.7934,-0.2743,0
0.5055,-0.1583,0.1913,0
0.1215,-0.5752,0.7720,0
0.7405,-0.4701,-0.0007,0
0.4976,-0.5382,0.1308,0
0.9587,-0.0267,0.1759,0
0.7942,-0.3020,0.2035,0
0.8090,-0.1500,0.2825,0
0.5009,-0.0183,-0.6709,0
0.7979,0.2788,-0.0931,0
0.2216,0.6614,0.3528,0
0.4562,-0.0184,0.3999,0
0.2889,-0.0984,-0.1195,0
-0.1589,-0.2827,0.2002,0
0.7505,-0.0587,0.4704,0
0.1050,-0.2074,-0.3270,0
1.6720,-0.0900,0.0724,0
0.6198,-0.3720,0.3917,0
0.5899,0.4887,-0.2381,0
0.6596,-0.3744,0.2807,0
0.2268,-0.1275,-0.5905,0
0.8242,-0.3678,0.2761,0
0.6033,0.0523,-0.9087,0
0.2256,-0.8710,0.2912,0
0.4445,-0.6576,0.6457,0
0.0046,-0.4291,0.8958,0
0.4744,0.0518,-0.0858,0
-0.0592,-0.3662,-0.0717,0
0.4287,-0.6203,0.0383,0
0.7522,-0.5397,0.9393,0
0.5374,0.2414,0.4174,0
0.2623,-0.5665,0.1590,0
0.5348,-0.1965,-0.1595,0
0.0494,-0.4136,-0.0429,0
0.6447,-0.0741,-0.1207,0
0.7378,-0.1591,0.0755,0
0.9204,0.0525,-0.6980,0
1.0441,-0.2891,-0.3743,0
0.3664,-0.3333,0.2727,0
1.2708,-0.6692,-0.6897,0
1.0373,0.3438,0.0533,0
0.6902,-0.4337,0.2870,0
0.0964,-0.5857,0.7342,0
0.3303,-0.4132,0.3710,0
0.1462,0.1666,0.5351,0
0.0331,-0.1946,0.0156,0
-0.1339,-0.2184,-1.0369,0
0.5424,-0.4279,-0.3105,0
-0.3751,-0.2638,0.0776,0
0.3760,0.0796,0.2835,0
-0.3058,-0.4717,-0.8144,0
0.3745,-0.3511,-0.3697,0
0.2222,0.1953,0.6732,0
0.8425,-0.2321,-0.2026,0
0.4461,0.0246,-0.0609,0
0.3023,0.0563,0.3156,0
0.3888,-0.9629,0.4221,0
0.4861,-0.4950,1.0939,0
-0.0319,-0.0973,0.0903,0
0.4927,-0.1931,-0.2592,0
0.7479,-0.5058,-0.2762,0
0.5048,-0.4027,-0.2543,0
0.8108,-0.0519,-0.2245,0
0.7154,0.2100,0.3229,0
-0.1151,0.3772,0.9052,0
0.7379,0.0779,0.8378,0
1.0417,-0.0893,-0.1099,0
0.2018,-0.3933,-0.0945,0
0.5136,-0.2734,0.4734,0
0.7850,-0.6734,-0.1920,0
0.3891,-0.3672,0.5767,0
0.6438,-0.0515,0.6017,0
0.3210,-0.2511,0.1245,0
0.2080,-0.2763,0.3015,0
3.5000,3.2000,4.0000,1
-3.0000,2.5000,-3.5000,1
2.8000,-4.0000,3.0000,1
-2.5000,-3.0000,-4.2000,1
4.0000,-3.5000,-3.0000,1
-3.5000,4.0000,3.5000,1
0.5000,4.5000,-0.2000,1
4.2000,0.1000,4.0000,1
-4.0000,-0.2000,3.0000,1
1.0000,-4.5000,-3.5000,1
-0.6729,0.0564,-3.3973,1
1.0446,-2.9432,-0.9855,1
-1.6179,1.4461,3.2910,1
1.0355,-3.6361,-0.6500,1
-1.5551,-0.4408,-4.2747,1
1.9645,1.8039,-1.7749,1
-3.3234,0.7634,-0.9121,1
-1.1383,0.5317,4.4280,1
3.6041,-0.0772,-0.6856,1
1.0671,2.6886,-3.5823,1
